"Delivery_Duration","Order_Type","Delivery_Person_Age","Delivery_Person_Tenure","Delivery_Person_Ratings","Vehicle_Type","Vehicle_Condition","Festival","Location_Type","Weather_Conditions","Road_Traffic_Conditions","Multiple_Deliveries","Grievances","Order_Placed_Picked_Duration"
30,"Meal ",33,8,5,"scooter",0,"No","Urban","Windy","Medium",0,"Y",10
44,"Meal ",38,11,4.8,"scooter",0,"No","Semi-Urban","Windy","Jam ",1,"N",10
20,"Meal ",35,22,4.7,"scooter",1,"No","Urban","Cloudy","Low",0,"Y",10
24,"Meal ",37,13,4.5,"motorcycle",1,"No","Semi-Urban","Stormy","Low ",1,"N",10
46,"Drinks ",33,21,4.6,"motorcycle",0,"No","Semi-Urban","Cloudy","Medium",3,"N",10
37,"Buffet ",31,18,4.8,"motorcycle",0,"No","Urban","Stormy","Medium",2,"N",5
27,"Drinks ",25,17,4.6,"scooter",2,"No","Semi-Urban","Fog","Low ",1,"N",15
15,"Snack ",37,22,4.9,"motorcycle",1,"No","Metropolitan","Sunny","Jam ",1,"N",5
40,"Meal ",25,8,4.1,"motorcycle",0,"No","Metropolitan","Sandstorms","Medium",1,"N",15
15,"Drinks ",30,2,4.5,"electric_scooter",2,"No","Metropolitan","Stormy","Medium",0,"N",5
29,"Buffet ",32,21,4.6,"scooter",1,"No","Urban","Windy","Jam ",1,"Y",10
47,"Buffet ",36,11,5,"motorcycle",0,"Yes","Urban","Fog","Jam ",1,"N",5
23,"Snack ",34,14,4.7,"scooter",2,"No","Semi-Urban","Sunny","High ",0,"N",15
35,"Meal ",23,16,4.9,"scooter",0,"No","Urban","Fog","Medium",1,"N",15
16,"Meal ",33,12,4.9,"electric_scooter",1,"No","Semi-Urban","Fog","Low ",0,"N",5
21,"Drinks ",29,23,5,"scooter",1,"No","Metropolitan","Stormy","Low ",1,"Y",15
10,"Meal ",24,21,5,"motorcycle",1,"No","Urban","Sandstorms","Low",0,"N",15
14,"Drinks ",27,23,5,"electric_scooter",1,"No","Urban","Sunny","Jam",0,"N",15
42,"Snack ",30,9,4,"scooter",2,"No","Metropolitan","Fog","Jam ",1,"N",15
26,"Meal ",37,19,4.8,"motorcycle",1,"No","Semi-Urban","Windy","Jam ",1,"N",10
10,"Drinks ",35,12,5,"motorcycle",1,"No","Metropolitan","Windy","Low ",0,"Y",10
17,"Buffet ",26,5,4.5,"scooter",1,"No","Urban","Sunny","Medium",1,"N",15
22,"Drinks ",22,15,4.7,"electric_scooter",2,"No","Metropolitan","Windy","Jam ",0,"Y",10
27,"Meal ",34,9,4.7,"electric_scooter",0,"No","Urban","Sandstorms","Jam ",1,"Y",15
43,"Snack ",22,4,4.2,"motorcycle",0,"No","Metropolitan","Windy","Jam ",1,"N",10
46,"Meal ",35,17,4.6,"motorcycle",0,"No","Urban","Cloudy","Jam ",1,"N",10
15,"Drinks ",30,22,4.7,"electric_scooter",1,"No","Metropolitan","Cloudy","Low ",1,"N",15
25,"Meal ",20,16,4.6,"electric_scooter",2,"No","Metropolitan","Sandstorms","Low ",1,"N",15
23,"Buffet ",28,19,4.9,"motorcycle",2,"No","Metropolitan","Sunny","Jam ",0,"Y",5
39,"Buffet ",21,4,5,"motorcycle",0,"No","Semi-Urban","Stormy","Medium",1,"Y",5
29,"Snack ",36,14,4.5,"motorcycle",1,"No","Metropolitan","Fog","Jam ",1,"N",15
48,"Drinks ",27,15,4.3,"motorcycle",0,"Yes","Metropolitan","Sandstorms","Jam ",0,"N",15
25,"Meal ",29,19,4.6,"electric_scooter",2,"No","Urban","Stormy","Medium",1,"N",15
24,"Snack ",31,17,4.6,"scooter",1,"No","Metropolitan","Cloudy","Jam ",0,"N",10
44,"Buffet ",23,17,4.5,"scooter",1,"No","Urban","Windy","Jam ",3,"N",15
22,"Drinks ",21,22,4,"motorcycle",0,"No","Metropolitan","Stormy","Low ",1,"N",5
40,"Buffet ",25,5,4,"scooter",2,"No","Urban","Sandstorms","Jam",1,"Y",15
39,"Snack ",35,2,4.7,"motorcycle",2,"No","Urban","Stormy","Jam ",0,"N",15
34,"Drinks ",22,3,4.1,"motorcycle",1,"No","Semi-Urban","Cloudy","Jam",1,"N",5
20,"Snack ",30,19,4.7,"motorcycle",0,"No","Metropolitan","Cloudy","Low ",1,"Y",15
31,"Buffet ",36,17,4.6,"scooter",0,"No","Urban","Sandstorms","Jam",0,"N",5
32,"Drinks ",21,11,3.5,"motorcycle",1,"No","Semi-Urban","Cloudy","Low ",1,"N",10
27,"Drinks ",37,9,5,"motorcycle",1,"No","Metropolitan","Stormy","Medium",1,"N",15
22,"Meal ",29,15,4.9,"electric_scooter",2,"No","Metropolitan","Windy","Low ",0,"N",5
28,"Buffet ",20,15,5,"electric_scooter",2,"No","Urban","Sandstorms","Low",1,"Y",15
20,"Buffet ",30,21,4.9,"scooter",1,"No","Urban","Sunny","Low ",1,"N",10
28,"Meal ",31,23,4.8,"motorcycle",2,"No","Urban","Fog","Low ",0,"Y",10
34,"Meal ",27,8,4.7,"motorcycle",1,"No","Semi-Urban","Fog","Medium",1,"N",15
32,"Snack ",30,3,4.3,"scooter",1,"No","Metropolitan","Fog","Medium",1,"N",5
28,"Buffet ",23,15,4.7,"scooter",2,"No","Metropolitan","Sandstorms","Medium",1,"N",15
16,"Meal ",30,6,5,"motorcycle",1,"No","Metropolitan","Sunny","Low ",1,"N",5
29,"Meal ",31,22,4.7,"motorcycle",2,"No","Metropolitan","Sunny","Medium",1,"Y",5
25,"Meal ",35,21,4.7,"scooter",2,"No","Metropolitan","Sandstorms","Jam ",1,"N",15
37,"Meal ",33,2,4.1,"motorcycle",0,"No","Urban","Stormy","High",1,"N",5
